rank,root_word,semantic_field,tier,metaphorical_uses,universality,embodiment,productivity
1,in,Container/Boundary,1,mind/body/emotions/states,universal,high,very_high
2,out,Container/Boundary,1,mind/body/emotions/states,universal,high,very_high
3,inside,Container/Boundary,1,mind/body/emotions/states,universal,high,high
4,outside,Container/Boundary,1,mind/body/emotions/states,universal,high,high
5,contain,Container/Boundary,1,mind/states/organizations,universal,medium,high
6,hold,Container/Boundary,1,possession/memory/emotions,universal,high,very_high
7,empty,Container/Boundary,1,lack/hunger/meaninglessness,universal,high,high
8,full,Container/Boundary,1,satisfaction/completeness,universal,high,high
9,boundary,Container/Boundary,1,limits/social_norms,widespread,medium,medium
10,edge,Container/Boundary,1,danger/limits/margins,widespread,medium,high
11,center,Container/Boundary,1,importance/focus/self,widespread,medium,medium
12,up,Verticality,1,happiness/power/increase,universal,high,very_high
13,down,Verticality,1,sadness/weakness/decrease,universal,high,very_high
14,high,Verticality,1,status/power/quantity,universal,high,very_high
15,low,Verticality,1,depression/submission/lack,universal,high,very_high
16,rise,Verticality,1,improvement/anger/status,universal,high,high
17,fall,Verticality,1,failure/sadness/loss,universal,high,very_high
18,top,Verticality,1,peak/best/leadership,universal,medium,high
19,bottom,Verticality,1,worst/foundation/low_status,universal,medium,high
20,heavy,Weight/Force,1,important/difficult/depressed,universal,high,very_high
21,light,Weight/Force,1,unimportant/easy/happy,universal,high,very_high
22,press,Weight/Force,1,pressure/stress/force,universal,high,high
23,push,Weight/Force,1,force/promote/pressure,universal,high,high
24,pull,Weight/Force,1,attract/influence/effort,universal,high,high
25,carry,Weight/Force,1,burden/responsibility,universal,high,high
26,burden,Weight/Force,1,obligation/hardship/weight,widespread,high,medium
27,near,Distance/Proximity,1,soon/intimate/related,universal,high,very_high
28,far,Distance/Proximity,1,future/estranged/unrelated,universal,high,very_high
29,close,Distance/Proximity,1,intimate/imminent/related,universal,high,very_high
30,distant,Distance/Proximity,1,remote/estranged/future,universal,medium,high
31,approach,Distance/Proximity,1,future/nearing/method,widespread,medium,high
32,away,Distance/Proximity,1,absence/avoidance/departure,universal,medium,high
33,move,Motion/Journey,2,change/affect/progress,universal,high,very_high
34,go,Motion/Journey,2,proceed/depart/function,universal,high,very_high
35,come,Motion/Journey,2,arrive/originate/happen,universal,high,very_high
36,stop,Motion/Journey,2,cease/prevent/end,universal,high,very_high
37,walk,Motion/Journey,2,live/proceed/travel,universal,high,high
38,run,Motion/Journey,2,operate/flee/manage,universal,high,high
39,travel,Motion/Journey,2,think/experience/journey,widespread,medium,high
40,path,Motion/Journey,2,method/life/career,universal,medium,very_high
41,road,Motion/Journey,2,way/method/journey,universal,medium,high
42,way,Motion/Journey,2,method/manner/path,universal,medium,very_high
43,journey,Motion/Journey,2,life/process/story,widespread,low,very_high
44,arrive,Motion/Journey,2,succeed/conclude/reach,universal,medium,high
45,depart,Motion/Journey,2,die/leave/diverge,universal,medium,medium
46,head,Body Parts,2,leader/thought/top,universal,high,very_high
47,heart,Body Parts,2,emotion/center/courage,universal,high,very_high
48,hand,Body Parts,2,help/control/action,universal,high,very_high
49,eye,Body Parts,2,attention/understanding/watch,universal,high,very_high
