id,category,phrase
1,greetings,Hello
2,greetings,Good morning
3,greetings,How are you doing today?
4,greetings,It's nice to meet you
5,greetings,I hope you're having a good day
6,greetings,I haven't seen you in a long time
7,greetings,It's been a while since we last spoke
8,greetings,Welcome to our home
9,greetings,I'll see you later this evening
10,greetings,Have a great day
11,greetings,Take care of yourself
12,gratitude,Thank you so much for your help
13,gratitude,I really appreciate everything you've done
14,gratitude,I can't thank you enough for this
15,gratitude,You're very welcome
16,gratitude,It was my pleasure to help you
17,gratitude,Don't mention it at all
18,gratitude,I'm happy I could help
19,gratitude,Thank you for taking the time to do this
20,gratitude,I'm grateful for your support
21,apology,I'm really sorry about what happened
22,apology,Please excuse me for being late
23,apology,I apologize for the inconvenience
24,apology,I didn't mean to hurt your feelings
25,apology,Please forgive me for my mistake
26,apology,I should have been more careful
27,apology,It was completely my fault
28,apology,I take full responsibility for this
29,apology,I'm sorry for interrupting you
30,requests,Could you please help me with this?
31,requests,Would you mind closing the window?
32,requests,May I borrow your pen for a moment?
33,requests,I need someone to help me move this table
34,requests,Can I have a glass of water please?
35,requests,Please pass me the salt and pepper
36,requests,Could you repeat what you just said?
37,requests,I would like to ask you a favor
38,requests,Do you think you could give me a hand?
39,requests,Would it be possible for you to help me?
40,agreement,Yes
41,agreement,I completely agree with what you're saying
42,agreement,You're absolutely right about that
43,agreement,I think that's a great idea
44,agreement,That sounds perfect to me
45,agreement,I couldn't agree more with you
46,agreement,You've made an excellent point
47,agreement,I'm on board with that plan
48,agreement,That makes a lot of sense
49,disagreement,No
50,disagreement,I don't think that's quite right
51,disagreement,I'm not sure I agree with that
52,disagreement,I see it a bit differently
53,disagreement,I have a different opinion on this matter
54,disagreement,I'm afraid I can't agree with you
55,disagreement,That's not how I understand it
56,disagreement,I respectfully disagree with your point
57,questions,What is your name?
58,questions,When did this happen?
59,questions,Where are you going?
60,questions,Who told you that?
61,questions,Why did you do that?
62,questions,How does this work?
63,questions,What time is it right now?
64,questions,Where can I find the nearest bathroom?
65,questions,How much does this cost?
66,questions,Can you please repeat that for me?
67,questions,What's your full name?
68,questions,Where are you from originally?
69,questions,How old are you if you don't mind me asking?
70,questions,What do you do for a living?
71,questions,Do you speak any other languages besides English?
72,questions,Which one would you prefer?
73,questions,Whose book is this on the table?
74,questions,How long have you been living here?
75,questions,What are you planning to do this weekend?
76,introduction,My name is John Smith
77,introduction,I'm from the United States
78,introduction,I currently live in New York City
79,introduction,I work as a software engineer
80,introduction,I'm a student at the university
81,introduction,It's a pleasure to meet you
82,introduction,I've heard so much about you
83,introduction,Let me introduce myself
84,introduction,I'd like to introduce you to my friend
85,directions,Turn left at the next intersection
86,directions,You need to turn right after the traffic light
87,directions,Just go straight for about two blocks
88,directions,It's over there on your left
89,directions,The building is very near here
